V1 osc;err ;V2 mult;err;V_G [mV];err;I_G [mA];err;V_S [mV];err;I_S [mA];err
50;;50,1;;50;;0,005;;760;;5,72;
100;;102,9;;60;;0,008;;720;;2,02;
150;;157,8;;70;;0,01;;640;;0,611;
200;;208;;75;;0,012;;600;;0,375;
250;;256;;80;;0,014;;580;;0,241;
300;;306;;90;;0,018;;560;;0,159;
350;;361;;100;;0,025;;540;;0,101;
400;;410;;110;;0,032;;520;;0,069;
450;;461;;120;;0,042;;500;;0,042;
500;;509;;125;;0,046;;480;;0,03;
550;;560;;130;;0,054;;460;;0,019;
0;;0;;140;;0,066;;440;;0,013;
0;;0;;150;;0,084;;420;;0,008;
0;;0;;160;;0,101;;400;;0,006;
0;;0;;170;;0,126;;0;;0;
0;;0;;180;;0,152;;0;;0;
0;;0;;175;;0,14;;0;;0;
0;;0;;190;;0,189;;0;;0;
0;;0;;200;;0,234;;0;;0;
0;;0;;225;;0,359;;0;;0;
0;;0;;250;;0,585;;0;;0;
0;;0;;275;;0,89;;0;;0;
0;;0;;300;;1,362;;0;;0;
