V;FscalV;V_err;I;FscalI;I_err
-0.05;0.01;0.005244044;-0.31;60;0.02465
-0.1;0.02;0.010452272;-1;60;0.035
-0.2;0.05;0.020886599;-2.69;60;0.06035
-0.3;0.05;0.03132491;-4.75;60;0.09125
-0.4;0.1;0.041764219;-6.68;60;0.1202
-0.5;0.1;0.052203927;-8.89;60;0.15335
-0.6;0.1;0.062643834;-11.05;60;0.18575
-0.68;0.2;0.070995845;-12.22;60;0.2033
-0.8;0.2;0.083523949;-14.22;60;0.2333
-0.88;0.2;0.091876058;-15.06;60;0.2459
-1;0.2;0.104404262;-15.69;60;0.25535
-1.12;0.2;0.116932502;-15.94;60;0.2591
-1.3;0.5;0.135724906;-16.16;60;0.2624
-1.4;0.5;0.146165146;-16.31;60;0.26465
-1.6;0.5;0.167045652;-16.52;60;0.2678
-1.7;0.5;0.177485915;-16.62;60;0.2693
-1.9;0.5;0.198366454;-16.81;60;0.27215
-2;0.5;0.208806729;-16.9;60;0.2735
-2.2;0.5;0.229687287;-17.05;60;0.27575
-2.3;0.5;0.24012757;-17.14;60;0.2771
-2.5;0.5;0.261008142;-17.28;60;0.2792
-2.6;0.5;0.27144843;-17.36;60;0.2804
-2.8;0.5;0.29232901;-17.56;60;0.2834
-2.9;0.5;0.302769302;-17.66;60;0.2849
-3.1;1;0.323649888;-17.77;60;0.28655
-3.2;1;0.334090182;-17.85;60;0.28775
-3.4;1;0.354970773;-17.97;60;0.28955
-3.6;1;0.375851367;-18.09;60;0.29135
-3.7;1;0.386291664;-18.13;60;0.29195
-3.8;1;0.396731962;-18.16;60;0.2924
-4;1;0.41761256;-18.22;60;0.2933
